利用日付,利用時間,利用曜日,利用者ID,利用者名,身分,部局,連携用コード,学年,利用装置,判定結果
2016/06/01,10:24:11,水曜日,,,学生,経済学部,,3,入館ゲート2,許可
2016/06/01,10:24:16,水曜日,,,学生,法学部,,4,入館ゲート1,許可
2016/06/01,10:24:32,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:24:36,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:24:44,水曜日,,,学生,経済学部,,1,入館ゲート2,許可
2016/06/01,10:24:46,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:24:49,水曜日,,,学生,理学部,,1,入館ゲート2,許可
2016/06/01,10:24:51,水曜日,,,学生,教育学部,,1,入館ゲート1,許可
2016/06/01,10:24:52,水曜日,,,学生,法学部,,4,入館ゲート2,許可
2016/06/01,10:24:58,水曜日,,,学生,経済学部,,1,入館ゲート1,許可
2016/06/01,10:25:08,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:25:53,水曜日,,,学生,理学部,,3,入館ゲート1,許可
2016/06/01,10:25:53,水曜日,,,学生,文学部,入館可,3,入館ゲート2,許可
2016/06/01,10:25:55,水曜日,,,学生,工学部,,2,入館ゲート1,許可
2016/06/01,10:26:03,水曜日,,,学生,文学部,入館可,4,入館ゲート1,許可
2016/06/01,10:26:05,水曜日,,,大学院生,農学部,,M2,入館ゲート2,許可
2016/06/01,10:26:09,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:26:14,水曜日,,,学生,経済学部,,1,入館ゲート2,許可
2016/06/01,10:26:21,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:26:23,水曜日,,,学生,理学部,,1,入館ゲート1,許可
2016/06/01,10:26:28,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:26:30,水曜日,,,学生,法学部,,,入館ゲート1,許可
2016/06/01,10:26:33,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:26:35,水曜日,,,学生,文学部,,3,入館ゲート2,許可
2016/06/01,10:26:36,水曜日,,,学生,工学部,,1,入館ゲート1,許可
2016/06/01,10:26:39,水曜日,,,学生,工学部,,1,入館ゲート2,許可
2016/06/01,10:26:40,水曜日,,,学生,工学部,,1,入館ゲート1,許可
